date,power,longitude,latitude,place
2/4/2018 15:43,2.1,36.11,129.36,경북 포항시 북구 북쪽 8km 지역
2/3/2018 12:35,2.6,33.77,127.4,전남 여수시 거문도 남남동쪽 30km 해역
2/3/2018 11:12,2,36.14,129.36,경북 포항시 북구 북쪽 11km 지역
2/2/2018 12:21,2.9,36.12,129.37,경북 포항시 북구 북쪽 9km 지역
1/28/2018 20:07,3.2,40.24,127.3,북한 함경남도 장진 남남동쪽 16km 지역
1/24/2018 1:25,2.4,34.32,127.32,전남 여수시 거문도 북쪽 32km 해역
1/10/2018 18:42,2,36.26,127.34,대전 서구 남남서쪽 12km 지역
1/9/2018 16:17,2.1,33.98,127.11,전남 여수시 거문도 서남서쪽 19km 해역
1/6/2018 2:47,2.2,37.71,125.94,인천 옹진군 연평도 동북동쪽 21km 해역
1/1/2018 19:11,2,36.11,129.36,경북 포항시 북구 북쪽 8km 지역
1/1/2018 18:35,2.1,38.33,126.16,북한 황해북도 평산 서쪽 20km 지역
12/30/2017 19:44,2,35.76,129.17,경북 경주시 남남서쪽 9km 지역
12/29/2017 17:40,2.1,36.11,129.34,경북 포항시 북구 북북서쪽 8km 지역
12/27/2017 19:42,2.3,36.11,129.36,경북 포항시 북구 북쪽 7km 지역
12/27/2017 19:27,2.8,36.11,129.36,경북 포항시 북구 북쪽 7km 지역
12/26/2017 4:05,2.2,36.14,129.37,경북 포항시 북구 북쪽 11km 지역
12/25/2017 16:32,2.1,36.11,129.36,경북 포항시 북구 북쪽 7km 지역
12/25/2017 16:19,3.5,36.11,129.36,경북 포항시 북구 북쪽 8km 지역
12/22/2017 12:35,2.2,39.31,127.15,북한 함경남도 고원 남남서쪽 15km 지역
12/21/2017 12:01,2,36.72,128.01,경북 문경시 북서쪽 21km 지역
12/20/2017 19:22,2.3,36.09,125.64,충남 태안군 서격렬비도 남쪽 57km 해역
12/19/2017 13:34,2.1,35.77,129.42,경북 경주시 동남동쪽 20km 지역
12/12/2017 10:06,2.5,38.32,126.18,북한 황해북도 평산 서쪽 19km 지역
12/9/2017 16:15,2.3,35.61,129.99,울산 동구 동북동쪽 54km 해역
12/9/2017 15:40,2.8,41.31,129.11,북한 함경북도 길주 북북서쪽 43km 지역
12/9/2017 15:13,3,41.32,129.1,북한 함경북도 길주 북북서쪽 45km 지역
12/9/2017 2:39,2.3,36.1,129.35,경북 포항시 북구 북북서쪽 7km 지역
12/9/2017 1:49,2.2,36.1,129.35,경북 포항시 북구 북북서쪽 7km 지역
12/5/2017 23:40,2.7,41.32,129.13,북한 함경북도 길주 북북서쪽 44km 지역
12/5/2017 21:19,2.1,36.02,129.45,경북 포항시 남구 동쪽 9km 해역
12/4/2017 21:55,2.5,33.42,127.15,제주 서귀포시 성산 동쪽 25km 해역
12/3/2017 1:13,2.1,36.75,128.82,경북 안동시 북북동쪽 22km 지역
12/2/2017 7:45,2.5,41.31,129.11,북한 함경북도 길주 북북서쪽 43km 지역
12/1/2017 16:23,2.7,33.24,127.32,제주 서귀포시 성산 동남동쪽 44km 해역
12/1/2017 8:03,2.4,36.1,129.35,경북 포항시 북구 북북서쪽 7km 지역
11/26/2017 3:13,2.9,36.69,124.65,충남 태안군 서격렬비도 서쪽 79km 해역
11/25/2017 14:10,2.3,36.11,129.35,경북 포항시 북구 북쪽 7km 지역
11/25/2017 12:51,2,36.1,129.35,경북 포항시 북구 북쪽 7km 지역
11/24/2017 21:27,2.3,34.05,125.57,전남 신안군 흑산면 남쪽 68km 해역
11/24/2017 1:17,2.3,36.11,129.35,경북 포항시 북구 북쪽 7km 지역
11/24/2017 0:29,2.6,37.23,125.04,인천 옹진군 연평도 남서쪽 76km 해역
11/23/2017 23:27,2.3,36.11,129.37,경북 포항시 북구 북쪽 8km 지역
